epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,1940,0.52046,0.31895,0.87786,0.9493,0.93616,0.97527,0.60888,1.3688,0.62418,1.17787,0.0003764,0.0003764,0.0003764
166,1953.71,0.50977,0.31234,0.8677,0.96112,0.91,0.97172,0.5911,1.40236,0.65471,1.18795,0.0003665,0.0003665,0.0003665
167,1963.88,0.52966,0.32618,0.88794,0.93606,0.93,0.97476,0.60947,1.3745,0.65601,1.16557,0.0003566,0.0003566,0.0003566
168,1978.21,0.51889,0.317,0.87492,0.94659,0.93,0.97901,0.61031,1.36165,0.58108,1.15461,0.0003467,0.0003467,0.0003467
169,1987.9,0.55006,0.32231,0.88313,0.9537,0.91,0.9751,0.59688,1.38095,0.6209,1.16785,0.0003368,0.0003368,0.0003368
170,2002.32,0.52385,0.31912,0.8762,0.92361,0.96726,0.97657,0.60209,1.36955,0.65616,1.16092,0.0003269,0.0003269,0.0003269
171,2011.55,0.51992,0.31403,0.86404,0.95029,0.95585,0.98174,0.61252,1.37394,0.6157,1.15588,0.000317,0.000317,0.000317
172,2026.89,0.53205,0.31456,0.87688,0.94283,0.95,0.98221,0.60095,1.39803,0.62864,1.17676,0.0003071,0.0003071,0.0003071
173,2036.16,0.51976,0.30783,0.87654,0.93938,0.92976,0.97408,0.58436,1.37343,0.67184,1.17893,0.0002972,0.0002972,0.0002972
174,2049.75,0.50471,0.30966,0.88099,0.93066,0.91,0.96856,0.58547,1.38171,0.69199,1.18858,0.0002873,0.0002873,0.0002873
175,2059.33,0.51157,0.3129,0.8665,0.95602,0.89,0.96362,0.58701,1.3856,0.70964,1.18625,0.0002774,0.0002774,0.0002774
176,2072.68,0.48433,0.29893,0.86261,0.94698,0.91,0.96277,0.58581,1.4153,0.71869,1.18687,0.0002675,0.0002675,0.0002675
177,2082.12,0.51603,0.31188,0.86262,0.95821,0.92,0.96898,0.60073,1.37612,0.72954,1.17768,0.0002576,0.0002576,0.0002576
178,2095.41,0.50623,0.31216,0.87559,0.92168,0.9414,0.97795,0.60129,1.3877,0.66852,1.17353,0.0002477,0.0002477,0.0002477
179,2105.06,0.50353,0.30543,0.86808,0.9492,0.93426,0.97892,0.60369,1.38777,0.69473,1.18169,0.0002378,0.0002378,0.0002378
180,2118.28,0.49497,0.30081,0.87003,0.94873,0.94,0.97796,0.60172,1.39714,0.70046,1.18507,0.0002279,0.0002279,0.0002279
